stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.1,0.0001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004725975508822902,0.017886308759287317,0.011306142134055109
A,0.1,1e-05,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004725968000683926,0.01789002334635743,0.011307995673520678
A,0.1,1e-06,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00472596675142363,0.017890388310891688,0.011308177531157659
A,0.0001,1e-06,1e-12,1e-12,0.01,150,640,H,4,-0.03988323733210564,5,0.021998589541077224,0.0007830909656885866,0.011390840253382904
A,0.01,0.0001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004690827272412744,0.01812447925188236,0.011407653262147552
A,0.1,0.01,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011398615432449211,0.011417087626581068,0.01140785152951514
A,0.0001,1e-05,1e-12,1e-12,0.01,150,640,H,4,-0.03988323733210564,5,0.02202157873508585,0.0008154810873995898,0.01141852991124272
A,0.01,1e-05,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004691026901035858,0.01816295968737592,0.011426993294205889
A,0.01,1e-06,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004691018478732776,0.018166809740909073,0.011428914109820925
A,0.001,0.001,1e-12,1e-12,0.01,150,620,H,6,0.08161692321300507,5,0.022555965179966206,0.00031597430276022467,0.011435969741363215
A,0.1,0.001,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011396798703681342,0.011637798925395692,0.011517298814538517
A,0.01,0.001,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011389857189130444,0.011660463250279234,0.011525160219704839
A,0.1,0.0001,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011395397531514157,0.011660308186651758,0.011527852859082957
A,0.1,1e-05,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011395172354349007,0.011662531068911228,0.011528851711630117
A,0.1,1e-06,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011395170097947705,0.011662756053677174,0.01152896307581244
A,0.01,0.0001,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.01140082101471743,0.011939603895301439,0.011670212455009436
A,0.01,1e-05,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011399001487386115,0.011966317727156887,0.011682659607271502
A,0.01,1e-06,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011398786336761087,0.011969044824157286,0.011683915580459187
A,0.01,0.01,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010911751777190632,0.012551623550258979,0.011731687663724805
